id;type;amount;transaction_date;status;created_by;create_date;update_by;update_date
1;overriding;44289;2021-02-01;invoice Iraq Soft;infrastructures Re-engineered;2021-02-01;Metrics transmitting mindshare;2021-02-02
2;hard drive;76940;2021-02-01;Sausages orchid next generation;Bike plug-and-play open-source;2021-02-01;embrace out-of-the-box cross-platform;2021-02-01
3;Berkshire;66609;2021-02-01;collaborative;indexing programming;2021-02-01;Villages Monitored;2021-02-01
4;Ball;2474;2021-02-02;quantifying;copying;2021-02-01;transmitting;2021-02-01
5;Pa'anga Home Loan Account;35795;2021-02-01;Guyana Dollar International;Corporate Cambridgeshire;2021-02-02;Supervisor Circle;2021-02-01
6;gold overriding;31618;2021-02-02;1080p e-tailers Sausages;driver District;2021-02-01;bypass Analyst dynamic;2021-02-02
7;Product;27429;2021-02-01;connect;Specialist;2021-02-02;Maryland generate;2021-02-01
8;Gorgeous Cotton Mouse;23151;2021-02-02;Heights Data bifurcated;withdrawal;2021-02-01;Granite Street;2021-02-01
9;Profound;77651;2021-02-02;Armenia 6th generation Shirt;Tuna Handcrafted Soft Hat;2021-02-02;Associate collaboration;2021-02-02
10;COM Borders;9567;2021-02-02;protocol Kroon;Streamlined;2021-02-02;Awesome e-commerce Synergized;2021-02-02
